url,title
https://bank.sinopac.com/sinopacBT/webevents/1910_PLdigital/index.html?LinkSource=859&utm_source=bank&utm_medium=banner&utm_term=nonpaid&utm_content=1920x380&utm_campaign=PLMONEY20191001,永豐數時貸｜新春優貸 迎好利-信用貸款首期年利率0.01%
https://bank.sinopac.com/sinopacBT/webevents/2023foreignexchange/index.html?utm_source=bank&utm_medium=banner&utm_term=nonpaid&utm_content=1920x380&utm_campaign=foreignexchange2026,永豐週三匯元日，換匯減分優惠
https://bank.sinopac.com/sinopacBT/webevents/2024foreigndeposit/index.html?utm_source=bank&utm_medium=banner&utm_term=nonpaid&utm_content=1920x380&utm_campaign=2026foreigndeposit2026,美元3個月期年利率3.88%，人民幣6個月期年利率最高1.3%
https://bank.sinopac.com/sinopacBT/webevents/2026q1daway/index.html?utm_source=bank&utm_medium=banner&utm_term=nonpaid&utm_content=1920x380&utm_campaign=2026q1daway2026q1,DAWAY獎利+8% | 外幣活存加碼優惠
https://bank.sinopac.com/sinopacBT/webevents/dawhofidocard/?utm_source=bank&utm_medium=banner&utm_term=nonpaid&utm_content=na&utm_campaign=other_gen_na_na_na_20260101_dawhocustomer_na,業界首創！DAWHO現金回饋Debit卡 - 永豐銀行
https://bank.sinopac.com/sinopacBT/webevents/wealth_vip/index.html,永豐銀行 永豐尊榮理財
https://bank.sinopac.com/sinopacBT/webevents/ibrain/campaign/index.html?utm_source=bank&utm_medium=banner&utm_term=nonpaid&utm_content=&utm_campaign=ibrainH12026,ibrAin智能理財-ETF 存股2026 帳戶管理費 0 元│永豐銀行
https://bank.sinopac.com/sinopacBT/webevents/2312_greencard/index.html?Branch=GCBANK&utm_source=bank&utm_medium=banner&utm_term=nonpaid&utm_content=na&utm_campaign=gcbank2026,永豐現金回饋Green卡-綠色消費愛地球，和永豐銀行一起顧環保
https://bank.sinopac.com/sinopacBT/webevents/TCF/friendly.html,公平待客 金融友善－永豐銀行－金融友善
https://bank.sinopac.com/sinopacBT/webevents/anti-fraudbee/index.html,永豐銀行-防詐辨識通
